"soundscape_path","soundscape_file","roi_user","roi_input_timestamp","roi_label","roi_start","roi_end","roi_min_freq","roi_max_freq","roi_type","roi_label_confidence","roi_is_complete","roi_comment","roi_wl","roi_ovlp","roi_sample_rate","roi_pitch_shift","roi_path"
"./soundscapes/W54448S25622_20191104_171000.wav","W54448S25622_20191104_171000.wav","User","2025-11-05 18:16:29","Basileuterus culicivorus",24.0080655740622,24.4692664068617,3.151,9.232,"detection",NA,NA,"peak_score=0.474208073304101|peak_quant=0.999|detection_min_score=NA|detection_min_quant=NA|detection_top_n=NA|peak_index=1893|detection_buffer=36",1024,70,24000,1,"./final_detecs//W54448S25622_20191104_171000_roi_User_20251105181629.csv"
"./soundscapes/W54448S25622_20191104_171000.wav","W54448S25622_20191104_171000.wav","User","2025-11-05 18:16:29","Basileuterus culicivorus",44.5827471706171,45.0439480034166,3.151,9.232,"detection",NA,NA,"peak_score=0.49021712214614|peak_quant=0.999|detection_min_score=NA|detection_min_quant=NA|detection_top_n=NA|peak_index=3499|detection_buffer=36",1024,70,24000,1,"./final_detecs//W54448S25622_20191104_171000_roi_User_20251105181629.csv"
"./soundscapes/W54448S25622_20191104_171000.wav","W54448S25622_20191104_171000.wav","User","2025-11-05 18:16:29","Basileuterus culicivorus",57.1248475959143,57.5860484287138,3.151,9.232,"detection",NA,NA,"peak_score=0.602771583201597|peak_quant=1|detection_min_score=NA|detection_min_quant=NA|detection_top_n=NA|peak_index=4478|detection_buffer=36",1024,70,24000,1,"./final_detecs//W54448S25622_20191104_171000_roi_User_20251105181629.csv"
